"","essround","netuse","ppltrst","polintr","vote","prtvtes","lawobey","gndr","agea","edlves","pdjobev","dscrgrp","region","dscrage","dscrdk","dscrdsb","dscretn","dscrgnd","dscrlng","dscrna","dscrnap","dscrntn","dscroth","dscrrce","dscrref","dscrsex","discrimination"
"190",2002,0,3,3,2,66,2,2,86,2,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"191",2002,1,7,4,1,1,2,1,76,3,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"192",2002,7,6,3,1,1,2,2,45,3,6,1,"",0,0,1,1,0,1,0,0,0,0,1,0,1,"Sexualidad"
"193",2002,6,8,4,1,68,2,2,28,11,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"194",2002,0,2,3,1,77,4,2,62,2,6,1,"",0,0,0,1,0,0,0,0,0,0,0,0,0,"Etnia"
"195",2002,0,7,2,8,66,5,1,25,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"196",2002,0,7,2,2,66,3,2,37,4,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"197",2002,0,3,4,1,1,1,2,76,0,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"198",2002,0,8,2,1,1,1,1,52,4,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"199",2002,1,5,2,2,66,1,1,72,1,1,1,"",0,0,1,1,1,1,0,0,0,0,1,0,1,"Sexualidad"
"200",2002,0,7,3,2,66,4,2,37,5,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"201",2002,0,8,4,1,2,2,1,40,4,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"202",2002,1,7,4,1,1,2,2,36,4,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"203",2002,7,6,4,1,2,3,2,40,5,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"204",2002,1,5,2,1,1,3,1,57,2,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"205",2002,0,6,4,8,66,3,1,72,1,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"206",2002,0,9,4,1,3,3,1,45,4,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"207",2002,1,5,2,1,2,3,1,32,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"208",2002,0,9,2,1,1,8,2,70,2,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"209",2002,0,8,4,2,66,3,2,72,1,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"210",2002,0,5,3,2,66,4,1,23,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
